State_FIPS,County_FIPS,Town_FIPS,municipality,Pop_Total_20,Voter_Reg_R_20,Voter_Reg_D_20,Vote_Gov_R_18,Vote_Gov_D_18,VAP_White_20,VAP_NonWhite_20,
9,1,0,Water_1,0,0,0,0,0,0,0,
9,7,0,Water_3,0,0,0,0,0,0,0,
9,9,0,Water_2,0,0,0,0,0,0,0,
9,11,0,Water_4,0,0,0,0,0,0,0,
9,13,1080,Andover,3151,683,732,863,637,2370,222,
9,9,1220,Ansonia,18918,1853,3629,3160,2703,10017,4927,
9,15,1430,Ashford,4191,699,1004,925,962,3122,304,
9,3,2060,Avon,18932,3909,4469,4714,4212,11833,2751,
9,5,2760,Barkhamsted,3647,911,745,1079,726,2798,166,
9,9,3250,Beacon Falls,6000,1200,1131,1804,901,4360,524,
9,3,4300,Berlin,20175,4014,4947,5543,3762,14746,1721,
9,9,4580,Bethany,5297,1167,1238,14061,12627,3760,495,
9,1,4720,Bethel,20358,3303,3917,4166,4096,12082,3819,
9,5,4930,Bethlehem,3385,946,701,1280,707,2679,175,
9,3,5910,Bloomfield,21535,1315,9526,1745,8068,6695,11537,
9,13,6260,Bolton,4858,996,1123,14061,12627,3516,386,
9,11,6820,Bozrah,2429,432,608,634,420,1869,173,
9,9,7310,Branford,28273,3990,7638,6497,7062,20913,3302,
9,1,8070,Bridgeport,148654,4983,49004,5082,23383,28545,85171,
9,5,8210,Bridgewater,1662,431,451,546,469,1342,113,
9,3,8490,Bristol,60833,8043,12961,11024,8988,38451,10353,
9,1,8980,Brookfield,17528,4006,3168,4406,3486,11465,2359,
9,15,9190,Brooklyn,8450,1367,1337,1682,1169,5929,810,
9,3,10100,Burlington,9519,1954,1828,14061,12627,6772,652,
9,5,10940,Canaan,1080,157,317,199,327,833,65,
9,15,12130,Canterbury,5045,1148,828,1410,742,3681,347,
9,3,12270,Canton,10124,2210,2532,2582,2391,7302,690,
9,15,13810,Chaplin,2151,505,452,524,440,1577,170,
9,9,14160,Cheshire,28733,5071,6007,7141,5932,18754,3989,
9,7,14300,Chester,3749,580,1156,840,1171,2987,205,
9,7,15350,Clinton,13185,2645,3094,3302,2814,9542,1381,
9,11,15910,Colchester,15555,2645,3362,3628,3221,11025,1266,
9,5,16050,Colebrook,1361,331,286,499,275,1086,74,
9,13,16400,Columbia,5272,1054,1284,1403,1275,4018,310,
9,5,17240,Cornwall,1567,196,577,14061,12627,1260,95,
9,13,17800,Coventry,12235,2236,2643,3044,2585,8944,819,
9,7,18080,Cromwell,14225,2418,3511,3332,2964,9516,1966,
9,1,18500,Danbury,86518,8903,14751,8951,11729,35283,32965,
9,1,18850,Darien,21499,5588,3728,5931,3548,12700,1968,
9,7,19130,Deep River,4415,705,1196,1040,1150,3349,331,
9,9,19550,Derby,12325,1253,2591,2291,1744,7159,2827,
9,7,20810,Durham,7152,1612,1431,2165,1466,5256,448,
9,15,21860,Eastford,1649,448,319,482,288,1239,107,
9,3,22070,East Granby,5214,1000,1122,1317,1010,3504,543,
9,7,22280,East Haddam,8875,1791,2044,2336,1935,6793,485,
9,7,22490,East Hampton,12717,2228,2664,3241,2548,9281,899,
9,3,22630,East Hartford,51045,3083,14241,4447,9511,15848,23793,
9,9,22910,East Haven,27923,3962,6229,5799,4098,17951,5342,
9,11,23400,East Lyme,18693,3141,4538,3953,4716,13071,2365,
9,1,23890,Easton,7605,1703,1655,2126,1757,5036,754,
9,3,24800,East Windsor,11190,1859,2562,2220,1832,7360,1996,
9,13,25360,Ellington,16426,3045,2772,4031,2799,11020,1831,
9,3,25990,Enfield,42141,5884,8432,7727,6527,27853,6729,
9,7,26270,Essex,6733,1449,2051,1777,1916,5403,381,
9,1,26620,Fairfield,61512,10613,14144,12492,14131,40898,6805,
9,3,27600,Farmington,26712,4793,6750,5821,5810,16470,4707,
9,11,29910,Franklin,1863,400,377,505,368,1386,145,
9,3,31240,Glastonbury,35159,6256,8594,7839,8167,22396,5040,
9,5,32290,Goshen,3150,896,596,1015,575,2443,164,
9,3,32640,Granby,10903,2545,2462,2992,2286,7886,666,
9,1,33620,Greenwich,63518,12563,12279,13803,12822,36700,11239,
9,11,33900,Griswold,11402,1954,2334,2449,1616,7836,1213,
9,11,34250,Groton,38411,4210,7083,5280,6562,23708,7528,
9,9,34950,Guilford,22073,3552,6300,5223,6674,15792,1825,
9,7,35230,Haddam,8452,1661,1844,2424,1771,6250,505,
9,9,35650,Hamden,61169,4170,18871,7238,15924,30120,20538,
9,15,36000,Hampton,1728,344,410,407,424,1321,121,
9,3,37070,Hartford,121054,2493,40832,2079,20102,19791,73260,
9,3,37140,Hartland,1901,608,332,707,290,1435,119,
9,5,37280,Harwinton,5484,1461,975,1897,907,4108,263,
9,13,37910,Hebron,9098,1923,2196,2500,1948,6743,518,
9,5,40290,Kent,3019,446,938,14061,12627,2245,293,
9,15,40500,Killingly,17752,2564,2722,3155,2011,12738,1514,
9,7,40710,Killingworth,6174,1453,1384,1932,1490,4717,351,
9,11,42390,Lebanon,7142,1475,1337,1787,1351,5262,511,
9,11,42600,Ledyard,15413,2616,2779,3074,2770,9689,2205,
9,11,43230,Lisbon,4195,724,835,999,733,3054,322,
9,5,43370,Litchfield,8192,1931,1886,2412,1704,6383,476,
9,11,44210,Lyme,2352,504,740,617,773,1902,111,
9,9,44560,Madison,17691,3900,4450,5034,4525,12942,1228,
9,3,44700,Manchester,59713,5548,14122,7529,11832,29160,18448,
9,13,44910,Mansfield,25892,1211,4393,1914,6359,16969,6599,
9,3,45820,Marlborough,6133,1248,1410,1652,1291,4456,411,
9,9,46520,Meriden,60850,4946,11160,7878,9545,28508,19033,
9,9,46940,Middlebury,7574,2390,1392,2451,1273,5299,627,
9,7,47080,Middlefield,4217,778,1017,1239,940,3225,261,
9,7,47360,Middletown,47717,4629,13619,6526,10388,27781,12291,
9,9,47535,Milford,52044,8821,11907,12650,11002,36456,7088,
9,1,48620,Monroe,18825,3795,3181,5325,3486,12576,1973,
9,11,48900,Montville,18387,2403,3125,3390,2687,11283,3773,
9,5,49460,Morris,2256,699,395,785,415,1773,101,
9,9,49950,Naugatuck,31519,4560,6291,6341,3806,18656,6216,
9,3,50440,New Britain,74135,3922,15351,5193,10727,28861,28724,
9,1,50580,New Canaan,20622,5759,3699,5904,3662,12642,1932,
9,1,50860,New Fairfield,13579,3197,2453,3492,2635,9492,1237,
9,5,51350,New Hartford,6658,1665,1368,2095,1317,5059,354,
9,9,52070,New Haven,134023,2722,40593,4391,27983,38071,66939,
9,3,52140,Newington,30536,4040,8033,5939,6537,19498,5479,
9,11,52350,New London,27367,1538,7906,1523,4937,11690,10494,
9,5,52630,New Milford,28115,5065,5090,5975,5104,18108,4272,
9,1,52980,Newtown,27173,5622,5686,6552,6176,18587,2708,
9,5,53470,Norfolk,1588,239,479,14061,12627,1241,88,
9,9,53890,North Branford,13544,2535,2392,4041,2179,10233,852,
9,5,54030,North Canaan,3211,650,622,806,629,2330,324,
9,9,54870,North Haven,24253,4694,4813,7038,4539,16692,3079,
9,11,55500,North Stonington,5149,1269,1093,1333,1021,3752,381,
9,1,56060,Norwalk,91184,10161,23144,11390,19803,40683,31999,
9,11,56270,Norwich,40125,3275,7298,4249,5806,19678,12009,
9,11,57040,Old Lyme,7628,1720,1915,1988,1961,5807,476,
9,7,57320,Old Saybrook,10481,2619,2744,2845,2599,8183,818,
9,9,57600,Orange,14280,2667,2907,4196,3061,9246,1993,
9,9,58300,Oxford,12706,3332,1832,4467,1837,9340,842,
9,15,59980,Plainfield,14973,2323,2890,2735,1757,10457,1286,
9,3,60120,Plainville,17525,2745,3877,3840,2810,12147,2332,
9,5,60750,Plymouth,11671,2280,1967,2840,1273,8659,960,
9,15,61030,Pomfret,4266,738,917,919,918,3128,315,
9,7,61800,Portland,9384,1650,2277,2282,1990,6742,807,
9,11,62150,Preston,4788,978,851,14061,12627,3426,466,
9,9,62290,Prospect,9401,2379,1415,3344,1290,6899,684,
9,15,62710,Putnam,9224,1219,1745,1500,1284,6568,818,
9,1,63480,Redding,8765,1881,2559,2119,2563,6210,708,
9,1,63970,Ridgefield,25033,5755,6514,5904,6385,16277,2382,
9,3,65370,Rocky Hill,20845,2782,4706,3988,3769,12386,4505,
9,5,65930,Roxbury,2260,509,614,649,635,1781,149,
9,11,66210,Salem,4213,741,882,1083,800,2928,406,
9,5,66420,Salisbury,4194,469,1485,14061,12627,3078,353,
9,15,67400,Scotland,1576,303,328,432,270,1203,71,
9,9,67610,Seymour,16748,2933,2717,4279,2296,11384,2102,
9,5,67960,Sharon,2680,432,745,516,763,2109,229,
9,1,68170,Shelton,40869,8495,6783,11058,6119,27873,5866,
9,1,68310,Sherman,3527,807,787,896,877,2708,217,
9,3,68940,Simsbury,24517,5067,6475,5635,5940,16375,2475,
9,13,69220,Somers,10255,2144,1389,14061,12627,7104,1300,
9,9,69640,Southbury,19879,5182,4098,5782,4047,15120,1410,
9,3,70550,Southington,43501,8273,8653,11607,7431,31208,3592,
9,3,71390,South Windsor,26918,3699,6260,5282,5841,15157,5560,
9,11,71670,Sprague,2967,451,601,725,427,2059,265,
9,13,72090,Stafford,11472,1833,2291,2725,1847,8496,796,
9,1,73070,Stamford,135470,13638,31177,14913,27447,59139,49576,
9,15,73420,Sterling,3578,673,457,815,378,2543,298,
9,11,73770,Stonington,18335,2866,5056,3663,4684,14086,1239,
9,1,74190,Stratford,52355,6728,13869,9108,11303,26246,15730,
9,3,74540,Suffield,15752,2842,2640,3486,2453,10365,2504,
9,5,75730,Thomaston,7442,1632,1138,2330,861,5599,484,
9,15,75870,Thompson,9189,1507,1694,2086,1264,6989,561,
9,13,76290,Tolland,14563,2645,2989,3665,3137,10194,1143,
9,5,76570,Torrington,35515,5692,6294,7521,4336,23241,5725,
9,1,77200,Trumbull,36827,6711,7837,9164,7285,22194,5573,
9,13,77830,Union,785,231,150,249,173,601,56,
9,13,78250,Vernon,30215,3608,6095,5054,5518,18952,5979,
9,11,78600,Voluntown,2570,539,432,14061,12627,1944,152,
9,9,78740,Wallingford,44396,6330,8217,10375,8175,30601,5655,
9,5,79510,Warren,1351,357,304,14061,12627,1032,74,
